Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
ASM14353v4	GCF_000143535.2	GCA_000143535.4	Botrytis cinerea B05.10		B05.10					Annotation submitted by Syngenta Biotechnology, Inc.	Complete Genome	2015-02-05		18
ASM3963971v1	GCA_039639715.1		Citrullus lanatus			PI 254622					Complete Genome	2024-05-14		11
EIMB_LUsi_Atlant_2.0	GCA_054134595.1		Linum usitatissimum			Atlant					Complete Genome	2025-12-23	JBSXNG01	15
ASM3175591v1	GCF_031755915.1	GCA_031755915.1	Ziziphus jujuba			Dongzao				GCF_031755915.1-RS_2023_10	Complete Genome	2023-09-20		12
Kmar_1.0	GCF_001417885.1	GCA_001417885.1	Kluyveromyces marxianus DMKU3-1042		DMKU3-1042					Annotation submitted by Yamaguchi University	Complete Genome	2014-01-14		8
ASM1690653v1	GCF_016906535.1	GCA_016906535.1	Rhizoctonia solani		AG-1 IA			XN		Annotation submitted by China Agricultural University	Complete Genome	2021-02-18		16
HydraT2T_AEP	GCF_038396675.1	GCA_038396675.1	Hydra vulgaris							GCF_038396675.1-RS_2024_06	Complete Genome	2024-04-02		15
ASM3799707v1	GCA_037997075.1		Oryza rufipogon			Y476					Complete Genome	2024-04-07		12
ASM3440671v1	GCA_034406715.1		Rhodotorula mucilaginosa		GDMCC2.30						Complete Genome	2023-12-15		18
ASM2064779v1	GCF_020647795.1	GCA_020647795.1	Trichoderma atroviride		P1					Annotation submitted by Academia Sinica	Complete Genome	2021-10-27		7
ASM272v2	GCF_000002725.2	GCA_000002725.2	Leishmania major strain Friedlin		Friedlin					Annotation submitted by Friedlin Consortium	Complete Genome	2011-02-14		36
XTBG_Pame_1.0	GCA_051132755.1		Persea americana			West Indian				Annotation submitted by Xishuangbanna Tropical Botanical Garden, CAS	Complete Genome	2025-06-28		12
ASM5485287v1	GCA_054852875.1		Citrus maxima					ZM			Complete Genome	2026-01-30	JBSSVF01	9
ASM2064786v1	GCF_020647865.1	GCA_020647865.1	Trichoderma asperellum		FT101					Annotation submitted by Academia Sinica	Complete Genome	2021-10-27		7
ASM5214893v1	GCA_052148935.1		Populus deltoides			NL2-2					Complete Genome	2025-08-19	JBNTQV01	19
ASM2591765v1	GCA_025917655.1		Chlorella sorokiniana		SLA-04						Complete Genome	2022-10-31		13
GZX_Primary_assembly	GCA_053572015.1		Prunus armeniaca			Guozhixian					Complete Genome	2025-11-20	JBQWLS01	8
GCA_900002385	GCF_900002385.2	GCA_900002385.2	Plasmodium yoelii		17X					Annotation submitted by WTSI	Complete Genome	2019-06-04		14
ASM9120v1	GCF_000091205.1	GCA_000091205.1	Cyanidioschyzon merolae strain 10D		10D					Annotation submitted by National Institute of Genetics, Japan	Complete Genome	2007-07-11		20
ASM3844276v1	GCA_038442765.1		Panicum miliaceum			AJ8					Complete Genome	2024-04-23		18
ASM5482521v1	GCA_054825215.1		Aspergillus cristatus		JH-5						Complete Genome	2026-01-29	JBTJBX01	14
ASM251v1	GCF_000002515.2	GCA_000002515.1	Kluyveromyces lactis		NRRL Y-1140					Annotation submitted by Genolevures Consortium	Complete Genome	2004-07-02		6
ASM955685v1	GCF_009556855.1	GCA_009556855.1	Talaromyces marneffei					11CN-20-091		Annotation submitted by Broad Institute	Complete Genome	2019-11-05		8
PBN-43_hap1	GCA_049350635.1		Xanthoceras sorbifolium					PBN-43		Annotation submitted by Peking University-Institute of Advanced Agricultural Science	Complete Genome	2025-04-08	JBMIRF01	15
ASM68747v2	GCF_000687475.1	GCA_000687475.2	Ustilaginoidea virens		UV-8b					Annotation submitted by China Agricultural University	Complete Genome	2021-05-20		7
ASM5482889v1	GCA_054828895.1		Clonostachys rosea		NF-06						Complete Genome	2026-01-29	JBTTGR01	9
Suva-ZP964	GCA_947243795.1		Saccharomyces uvarum		ZP964					Annotation submitted by UNIVERSITY COLLEGE DUBLIN	Complete Genome	2022-11-01		16
ASM3027215v1	GCA_030272155.1		Tetradesmus obliquus		DOE0152z					Annotation submitted by Los Alamos National Laboratory	Complete Genome	2023-06-14		17
ASM157146v2	GCA_001571465.2		Talaromyces pinophilus		1-95						Complete Genome	2017-07-18		8
ASM2636777v1	GCA_026367775.1		Exserohilum rostratum		LWI						Complete Genome	2022-11-24		16
ASM2691418v1	GCF_026914185.1	GCA_026914185.1	Puccinia triticina		Pt15					Annotation submitted by Henan Agricultural University	Complete Genome	2022-12-15		18
ASM1676781v1	GCF_016767815.1	GCA_016767815.1	Penicillium digitatum		PdW03					GCF_016767815.1-RS_2026_02	Complete Genome	2021-01-28		6
ASM22609v1	GCF_000226095.1	GCA_000226095.1	Thermothelomyces thermophilus ATCC 42464		ATCC 42464					Annotation submitted by DOE Joint Genome Institute	Complete Genome	2011-09-16		7
ASM5483347v1	GCA_054833475.1		Capsicum chinense			Hot1					Complete Genome	2026-01-29	JBPJDB01	12
ASM5138097v1	GCA_051380975.1		Eucalyptus urophylla x Eucalyptus grandis					0.4g			Complete Genome	2025-07-16	JBPOJU01	11
ASM1822364v1	GCA_018223645.1		Jasminum sambac			Hutoumoli					Complete Genome	2021-05-02		13
ASM4387381v1	GCA_043873815.1		Santalum album					Sal_t2t			Complete Genome	2024-10-25		10
ASM4898778v1	GCA_048987785.1		Flammulina filiformis		Jin13						Complete Genome	2025-03-26	JBLGTO01	12
ASM5580169v1	GCA_055801695.1		Gardenia jasminoides					FD			Complete Genome	2026-03-11	JBVOFL01	11
ASM5140373v1	GCA_051403735.1		Lablab purpureus			Linghu					Complete Genome	2025-07-18	JBNURT01	11
BVRC_Lsic_1.0	GCA_049863445.1		Lagenaria siceraria					XH-2024			Complete Genome	2025-04-23	JBJYBW01	11
ULAVAL_Pb3A	GCA_036867785.1		Plasmodiophora brassicae		3A					Annotation submitted by University Laval	Complete Genome	2024-02-25		20
AkawachiiIFO4308_assembly01	GCF_016861625.1	GCA_016861625.1	Aspergillus luchuensis		IFO 4308					Annotation submitted by Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University	Complete Genome	2021-01-30		8
ASM1841601v2	GCF_018416015.2	GCA_018416015.2	Coccidioides posadasii str. Silveira		Silveira					Annotation submitted by Northern Arizona University	Complete Genome	2022-02-01		9
ASM4175387v1	GCA_041753875.1		Acanthopagrus schlegelii					SG-2024	male	GCA_041753875.1-GB_2025_08_09	Complete Genome	2024-09-05	JBGQWW01	24
ASM2594827v1	GCA_025948275.1		Fusarium avenaceum		WV21P1A						Complete Genome	2022-11-01		9
ASM399968v1	GCA_003999685.1		Taiwanofungus camphoratus		M8						Complete Genome	2019-01-08		14
ASM5094771v1	GCA_050947715.1		Hanseniaspora uvarum		AWRI5759_A6					Annotation submitted by The Australian Wine Research Institute	Complete Genome	2025-06-17	JBMWUE01	7
ASM1107488v2	GCF_011074885.1	GCA_011074885.2	Brettanomyces bruxellensis		UCD 2041					Annotation submitted by Australian Wine Research Institute	Complete Genome	2020-10-30		9
ASM4749625v1	GCA_047496255.1		Selenicereus monacanthus			DH					Complete Genome	2025-02-07	JBJNHD01	11
TetNigT2Thap1	GCA_051020865.1		Tetraodon nigroviridis					ML-2025a			Complete Genome	2025-06-23	JBNPHU01	21
KPH12	GCA_001936155.1		Saccharomycopsis fibuligera		KPH12						Complete Genome	2017-01-05		7
ASM5345576v1	GCA_053455765.1		Sporisorium scitamineum		SSC04 MAT-2						Complete Genome	2025-11-13	JBLYES01	26
ASM1943126v1	GCA_019431265.1		Saccharomyces bayanus		FM677						Complete Genome	2021-08-01		17
Arufa_2401F	GCA_051903495.1		Alectoris rufa					2401F	female		Complete Genome	2025-08-08	JBPBCY01	40
ASM2525850v1	GCA_025258505.1		Fusarium asiaticum		KCTC 16664						Complete Genome	2022-09-19		4
ASM5085923v1	GCA_050859235.1		Fusarium tricinctum		MsR-QD66						Complete Genome	2025-06-09	JBOCID01	10
TJAS01	GCA_040126005.1		Annulohypoxylon stygium		TJAS01						Complete Genome	2024-06-11		10
ASM2585429v1	GCA_025854295.1		Lyophyllum decastes		LRG-d1-1						Complete Genome	2022-10-26		15
ASM3793559v1	GCA_037935595.1		[Candida] boidinii		CICC#33029						Complete Genome	2024-03-31		11
ASM531712v1	GCA_005317125.1		Leishmania amazonensis		UA301						Complete Genome	2019-05-14		34
ASM329048v1	GCF_003290485.1	GCA_003290485.1	Malassezia restricta		KCTC 27527					Annotation submitted by Korea Polar Research Institute	Complete Genome	2018-07-09		9
ASM5413144v1	GCA_054131445.1		Tachysurus ussuriensis	PU					male		Complete Genome	2025-12-22	JBSOSG01	26
ASM5488337v1	GCA_054883375.1		Arapaima gigas					CB-2025d	male		Complete Genome	2026-01-30	JBRDEV01	28
ASM5205843v2	GCA_052058435.2		Neurospora intermedia		NRRL 2884						Complete Genome	2025-08-15	JBQFLN01	7
ASM3347349v1	GCF_033473495.1	GCA_033473495.1	Cercospora beticola					Cb09-40		Annotation submitted by USDA-ARS	Complete Genome	2023-11-09		10
ASM4856927v1	GCA_048569275.1		Talaromyces purpureogenus					PV59			Complete Genome	2025-03-13	JBLFET01	8
ASM295215v1	GCA_002952155.1		Alternaria solani					NL03003			Complete Genome	2018-02-14		10
ASM5285523v1	GCA_052855235.1		Floccularia luteovirens		QHU-1						Complete Genome	2025-09-24	JBPBCZ01	13
ASM2264183v1	GCA_022641835.1		Cyberlindnera fabianii				Missouri	JOY008			Complete Genome	2022-03-21		16
ASM3387043v1	GCF_033870435.1	GCA_033870435.1	Sordaria macrospora		SN1693					Annotation submitted by Ruhr-University Bochum	Complete Genome	2023-11-21		7
ASM1433481v1	GCA_014334815.1		Pyrenophora teres f. maculata					P-A14			Complete Genome	2020-08-31		12
ASM83633v2	GCF_000836335.1	GCA_000836335.2	Cryptococcus bacillisporus CA1280		CA1280					Annotation submitted by Broad Institute	Complete Genome	2024-07-31		14
HcG217B_UCSF2	GCA_051312685.1		Histoplasma ohiense		G217B-UCSF2					Annotation submitted by University of California, San Francisco	Complete Genome	2025-07-14	JBNOKK01	7
ASM5110311v1	GCA_051103115.1		Cordyceps javanica		Apopka 97					Annotation submitted by Swansea University	Complete Genome	2025-06-26		7
ASM5208450v1	GCA_052084505.1		Trichoderma asperelloides		X01119					Annotation submitted by Nanjing Agricultural University	Complete Genome	2025-08-18	JBPWNV01	7
AchevalieriM1_assembly01	GCF_016861735.1	GCA_016861735.1	Aspergillus chevalieri		M1					Annotation submitted by Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University	Complete Genome	2021-01-30		8
ASM3276879v1	GCA_032768795.1		Tremella fuciformis			Tr01					Complete Genome	2023-10-17		11
ASM2091238v1	GCA_020912385.1		Neofusicoccum parvum		DUCC19944						Complete Genome	2021-11-22		18
ASM3734949v1	GCA_037349495.1		Lotmaria passim		422			BRL			Complete Genome	2023-12-19		31
RkraJCM10450v2	GCA_051805505.1		Rhodotorula kratochvilovae		JCM10450					Annotation submitted by Laboratory of Yeast Systematics, Tokyos NODAI Research Institute, Tokyo University Of Agriculture	Complete Genome	2025-07-29		17
Version 1	GCA_049487715.1		Pycnococcus provasolii		CCMP1203					Annotation submitted by Universite Laval	Complete Genome	2025-04-11		45
ASM5455311v1	GCA_054553115.1		Malus baccata					YH-2025			Complete Genome	2026-01-20	JBTAEY01	17
ASM1695235v1	GCA_016952355.1		Fusarium culmorum		Class2-1B					Annotation submitted by Chinese Academy of Forestry	Complete Genome	2020-11-16		4
ASM3818143v1	GCA_038181435.1		Fusarium acuminatum					1A		Annotation submitted by Beijing Forestry University	Complete Genome	2024-04-15		11
ASM2449921v1	GCA_024499215.1		Cercospora sojina		CCC 172-09/ARG_09_172						Complete Genome	2022-08-01		12
ASM872823v1	GCA_008728235.1		Lichtheimia ramosa		KPH11						Complete Genome	2019-09-30		10
ASM381444v1	GCA_003814445.1		Epichloe festucae Fl1		Fl1					Annotation submitted by Massey University	Complete Genome	2018-11-23		7
ASM9102v4	GCF_000091025.4	GCA_000091025.4	Eremothecium gossypii ATCC 10895		ATCC 10895					Annotation submitted by Biozentrum, University of Basel, Switzerland	Complete Genome	2010-10-18		7
yizhi_t2t	GCA_051943365.1		Alpinia oxyphylla			zingiberidae					Complete Genome	2025-08-12	JBPUHI01	24
ASM4338838v1	GCA_043388385.1		Cephalopholis sonnerati					HN-2023	hermaphrodite		Complete Genome	2024-10-21	JBHGNQ01	24
ASM3964508v1	GCA_039645085.1		Citrullus colocynthis			PI 632755					Complete Genome	2024-05-14		11
ASM5281503v1	GCA_052815035.1		Pyrus sinkiangensis					SXL			Complete Genome	2025-09-24	JBPKBG01	17
ASM4501417v1	GCA_045014175.1		Kerria lacca					LAC	female	Annotation submitted by Institute of Highland Forest Science, Chinese Academy of Forestry	Complete Genome	2024-11-18		9
ASM5131432v1	GCA_051314325.1		Pseudopleuronectes yokohamae					WX-2025	female		Complete Genome	2025-07-14	JBPPLO01	24
ArcPla_EST	GCA_978021975.1		Arctia plantaginis								Complete Genome	2026-01-27		31
ASM4877216v1	GCF_048772165.1	GCA_048772165.1	Typha angustifolia			Huaian				GCF_048772165.1-RS_2025_04	Complete Genome	2025-03-21	JBLRDY01	15
ASM2995921v1	GCA_029959215.1		Tricholoma bakamatsutake		SF-Tf05						Complete Genome	2023-05-09		13
OSU_Fsam_2.1	GCA_050947815.1		Fusarium sambucinum					potato_lamoka		Annotation submitted by Oregon State University	Complete Genome	2025-06-17	JBNNPX01	4
DICA0.2	GCA_965286745.1		Diutina catenulata							Annotation submitted by Genoscope CEA	Complete Genome	2025-10-11		6
ASM2687354v1	GCF_026873545.1	GCA_026873545.1	Fusarium falciforme		Fu3.1					Annotation submitted by Academia Sinica	Complete Genome	2022-12-13		14
ASM3676846v1	GCA_036768465.1		Alternaria brassicae		PNT						Complete Genome	2024-02-22		10
R0301.hap1	GCA_049000075.1		Ceratobasidium cereale		R0301						Complete Genome	2025-03-26	JBLUOG01	16
ASM3557587v1	GCA_035575875.1		Babesia gibsoni		WH58						Complete Genome	2024-01-10		4
ASM3963446v1	GCA_039634465.1		Didymella pinodella		HNA18						Complete Genome	2024-05-14		15
ASM401169v2	GCF_004011695.2	GCA_004011695.2	Ascochyta rabiei					Me14		Annotation submitted by Curtin University	Complete Genome	2022-08-25		22
Adeanei_nanopore_chromosomes	GCA_903995115.1		Angomonas deanei		Crithidia deanei Carvalho (ATCC PRA-265)					Annotation submitted by York	Complete Genome	2020-08-21		29
ASM827498v1	GCA_008274985.1		Aspergillus sojae		SMF134						Complete Genome	2019-09-05		8
ASM1342620v1	GCF_013426205.1	GCA_013426205.1	Metarhizium brunneum		4556					Annotation submitted by Swansea University	Complete Genome	2020-07-20		7
ASM74089v1	GCF_000740895.1	GCA_000740895.1	Theileria orientalis strain Shintoku		Shintoku					Annotation submitted by NCBI RefSeq	Chromosome	2012-09-05		4
ASM5215063v1	GCA_052150635.1		Equus kiang					wild_1	male		Complete Genome	2025-08-19	JBQJKN01	27
ASM5483351v1	GCA_054833515.1		Solanum aethiopicum			Y11					Complete Genome	2026-01-29	JBPJDC01	12
ASM3435926v1	GCA_034359265.1		Canna indica							Annotation submitted by Guizhou University	Complete Genome	2023-12-13		9
ICG_Riri_1	GCA_055001455.1		Riparia riparia					male #1	male		Complete Genome	2026-02-12	JBSXPI01	40
ASM4919127v1	GCA_049191275.1		Rosa laevigata				wild	ZR-2025a			Complete Genome	2025-03-31	JBMMNW01	7
ASM5482537v1	GCA_054825375.1		Citrullus amarus			PI 296341					Complete Genome	2026-01-29	JBTHXO01	11
ASM4647080v1	GCA_046470805.1		Citrus x aurantium					ZGSC			Complete Genome	2025-01-06	JBKFCI01	9
ASM3809558v1	GCA_038095585.1		Grapholita dimorpha					HBYC01			Complete Genome	2024-04-13		28
ASM2036097v2	GCA_020360975.2		Hirsutella rhossiliensis		HR02					Annotation submitted by The Institute of Vegetables and Flowers CAAS	Complete Genome	2025-12-01	JAIZPD02	7
NAU_DcSQ_1.1	GCA_055944425.1		Diaporthe caulivora		SQ1-13						Complete Genome	2026-03-15	JBNWPI01	7
ASM2327856v1	GCF_023278565.1	GCA_023278565.1	Colletotrichum lupini		IMI 504893					Annotation submitted by University of Western Brittany	Complete Genome	2022-05-09		11
ASM4141201v1	GCA_041412015.1		Pestalotiopsis microspora		KFRD-2						Complete Genome	2024-08-23	JBFTYK01	7
ASM4663068v1	GCA_046630685.1		Calonectria ilicicola		JXLN134						Complete Genome	2025-01-14		12
uoPelCalc1.1	GCA_918797485.2		Pelagomonas calceolata							Annotation submitted by Genoscope CEA	Complete Genome	2026-03-13		6
ASM3444790v1	GCF_034447905.1	GCA_034447905.1	Colletotrichum destructivum		CBS 520.97					Annotation submitted by INRAE	Complete Genome	2023-12-18		12
ASM4074193v1	GCA_040741935.1		Eleocharis dulcis					ONT			Complete Genome	2024-07-16		111
